date_revenue;merchandise;wire;delivery
09/20/2019;359.95;0;78.95
09/21/2019;829.75;0;117.93
09/22/2019;154.95;0;29.98
09/23/2019;511.19;0;92.94
09/24/2019;707.5;0;92.94
09/25/2019;190.89;0;45.97
09/26/2019;74.95;0;0
09/27/2019;355.75;0;91.94
09/28/2019;389.85;0;24.99
09/29/2019;310.85;0;44.97
09/30/2019;686;0;150.9
10/01/2019;660.94;0;122.92
10/02/2019;1023.85;0;92.94
10/03/2019;1075.6;0;153.9
10/04/2019;1003.3;0;92.94
10/05/2019;274.8;0;40.98
10/06/2019;359.9;0;44.97
10/07/2019;1076.54;0;203.87
10/08/2019;650.73;0;76.95
10/09/2019;539.05;0;79.95
10/10/2019;369.75;0;46.97
10/11/2019;982.45;0;137.91
10/12/2019;407.68;0;57.97
10/13/2019;80;0;14.99
10/14/2019;1077.85;0;108.93
10/15/2019;1479.9;0;158.9
10/16/2019;1419.4;0;176.89
10/17/2019;800.56;0;107.93
10/18/2019;794.7;0;109.93
10/19/2019;372.29;0;39.99
10/20/2019;154.95;0;29.98
10/21/2019;985.43;0;175.89
10/22/2019;729.24;0;108.93
10/23/2019;386.1;0;72.95
10/24/2019;1411.75;0;61.96
10/25/2019;661.64;0;107.93
10/26/2019;364.95;0;71.96
10/27/2019;229.95;0;29.98
10/28/2019;1011.05;0;110.93
10/29/2019;494.85;0;86.28
10/30/2019;682.6;0;105.93
10/31/2019;787.32;0;96.94
11/01/2019;780.9;0;76.95
11/02/2019;129.95;0;10
11/03/2019;209.9;0;44.97
11/04/2019;1270.3;0;188.9
11/05/2019;1321.5;0;223.87
11/06/2019;680.18;0;101.94
11/07/2019;1555.48;0;226.86
11/08/2019;1097.8;0;125.92
11/09/2019;264.9;0;57.97
11/10/2019;80;0;14.99
11/11/2019;1224.29;0;153.9
11/12/2019;522;0;78.95
11/13/2019;1029.8;0;125.92
11/14/2019;1326.55;0;154.9
11/15/2019;629.75;0;76.95
11/16/2019;434.8;0;55.97
11/17/2019;374.8;0;74.95
11/18/2019;836.15;0;153.9
11/19/2019;1455.5;0;215.27
11/20/2019;1416.45;0;169.89
11/21/2019;1037.44;0;125.92
11/22/2019;1403.95;0;177.9
11/23/2019;104.95;0;24.99
11/24/2019;169.95;0;29.98
11/25/2019;2466.22;0;211.88
11/26/2019;1999.33;0;150.92
11/27/2019;1306.4;0;140.91
11/29/2019;844.75;0;108.93
11/30/2019;80;0;25.99
12/01/2019;410.8;0;59.96
12/02/2019;408.82;0;86.95
12/03/2019;1039.83;0;169.89
12/04/2019;1274.45;0;171.89
12/05/2019;1409.17;0;223.86
12/06/2019;4512.83;0;513.2
12/07/2019;758.8;0;87.95
12/08/2019;369.85;0;44.97
12/09/2019;1213.95;0;228.86
12/10/2019;1143.7;0;141.91
12/11/2019;1101.6;0;168.9
12/12/2019;1604.55;0;171.89
12/13/2019;1945.29;0;210.87
12/14/2019;369.85;0;66.96
12/15/2019;244.95;0;44.97
12/16/2019;1520.04;0;221.86
12/17/2019;2397.59;0;250.84
12/18/2019;2602.02;0;358.77
12/19/2019;2289.59;0;276.82
12/20/2019;1925.5;0;310.8
12/21/2019;2159.35;0;279.82
12/22/2019;961.97;0;150.9
12/23/2019;2256.21;0;333.79
12/24/2019;877.85;0;109.93
12/26/2019;1493.85;0;140.91
12/27/2019;293.48;0;45.97
12/28/2019;809.7;0;148.91
12/29/2019;284.9;0;44.97
12/30/2019;952.35;0;112.93
12/31/2019;999.75;0;109.93
