date_revenue;merchandise;wire;delivery
10/05/2019;92.97;0;47.97
10/06/2019;60.99;0;30.98
10/07/2019;284.04;0;15.99
10/08/2019;66.98;0;40.98
10/09/2019;1;0;15.99
10/10/2019;75;0;15.99
10/11/2019;2;0;31.98
10/12/2019;1;0;15.99
10/14/2019;305;0;15.99
10/16/2019;202;0;31.98
10/17/2019;190.99;0;47.97
10/18/2019;1;0;15.99
10/19/2019;110.99;0;31.98
10/21/2019;140.98;0;45.98
10/22/2019;102;0;31.98
10/23/2019;127.99;0;15.99
10/24/2019;33;0;47.97
10/25/2019;17.5;0;79.95
10/26/2019;39.99;0;15.99
10/27/2019;2;0;31.98
10/28/2019;65;0;15.99
10/30/2019;89.99;0;15.99
11/01/2019;32;0;7.99
11/03/2019;84.99;0;15.99
11/04/2019;3;0;47.97
11/05/2019;1;0;15.99
11/06/2019;78;0;63.96
11/07/2019;274.98;0;15.99
11/08/2019;2;0;15.99
11/09/2019;4;0;47.97
11/10/2019;1;0;15.99
11/11/2019;1;0;15.99
11/12/2019;50.99;0;31.98
11/13/2019;3;0;47.97
11/14/2019;1;0;15.99
11/15/2019;51.98;0;47.97
11/16/2019;249.99;0;15.99
11/18/2019;142.92;0;62.96
11/19/2019;130.99;0;40.98
11/20/2019;40.99;0;32.98
11/21/2019;139.99;0;30.98
11/22/2019;139.99;0;23.98
11/24/2019;381.96;0;31.98
11/25/2019;1;0;15.99
11/26/2019;107;0;39.97
11/27/2019;12;0;31.98
11/30/2019;1;0;15.99
12/01/2019;1;0;15.99
12/02/2019;2;0;31.98
12/03/2019;578.8;0;0
12/04/2019;20;0;0
12/05/2019;1;0;15.99
12/06/2019;94;0;15.99
12/07/2019;84.99;0;0.99
12/09/2019;16048.39;0;2395.98
12/10/2019;952.99;0;47.97
12/11/2019;39.99;0;24.99
12/13/2019;124.98;0;15.99
12/15/2019;2;0;31.98
12/16/2019;202;0;31.98
12/17/2019;289.94;0;79.95
12/18/2019;190.99;0;47.97
12/19/2019;60;0;0
12/20/2019;195.97;0;47.97
12/22/2019;1;0;15.99
12/23/2019;49.99;0;15.99
12/24/2019;146.93;0;78.96
12/25/2019;59.99;0;15.99
12/26/2019;1;0;15.99
12/27/2019;49.99;0;24.99
12/28/2019;100;0;15.99
12/29/2019;79.99;0;29.99
12/30/2019;1;0;15.99
12/31/2019;1;0;15.99
