date_revenue;merchandise;wire;delivery
01/01/2019;54.95;0;14.99
01/02/2019;4075.9;0;347.33
01/03/2019;3002.95;0;209.86
01/04/2019;1134.92;0;74.95
01/05/2019;763.1;0;74.95
01/06/2019;359.9;0;44.97
01/07/2019;1788.27;0;246.54
01/08/2019;2869.72;0;284.83
01/09/2019;1865.72;0;212.37
01/10/2019;1589.75;0;244.81
01/11/2019;1473.9;0;194.87
01/12/2019;864.8;0;89.94
01/13/2019;235;0;14.99
01/14/2019;1567.51;0;200.54
01/15/2019;1669.87;0;194.88
01/16/2019;1587.36;0;178.7
01/17/2019;1643.88;0;214.82
01/18/2019;2711.2;0;349.77
01/19/2019;1605.83;0;96.9
01/20/2019;409.9;0;59.92
01/21/2019;715.19;0;85.64
01/22/2019;1034.94;0;129.92
01/23/2019;1454.92;0;192.39
01/24/2019;6161.09;0;249.82
01/25/2019;3492.03;0;349.71
01/26/2019;807;0;29.98
01/27/2019;214.95;0;29.98
01/28/2019;1683.01;0;245.5
01/29/2019;1675.1;0;194.83
01/30/2019;1522.87;0;182.39
01/31/2019;1810.29;0;209.83
02/01/2019;3535.9;0;349.83
02/02/2019;471.59;0;74.91
02/03/2019;169.95;0;29.98
02/04/2019;3167.38;0;245.53
02/05/2019;3118.3;0;444.74
02/06/2019;3692.61;0;332.3
02/07/2019;3246.43;0;359.72
02/08/2019;3061.53;0;334.79
02/09/2019;1342.59;0;134.92
02/10/2019;2484.54;0;319.78
02/11/2019;9115.3;0;988.82
02/12/2019;9814.35;0;1068.21
02/13/2019;18803.1;0;1764.15
02/14/2019;13846.6;0;749.5
02/15/2019;3528;0;404.61
02/16/2019;719.84;0;79.95
02/18/2019;1691.96;0;222.53
02/19/2019;5837.25;0;229.92
02/20/2019;875.82;0;102.44
02/21/2019;3042.85;0;294.82
02/22/2019;3064.81;0;294.81
02/23/2019;656.89;0;44.97
02/24/2019;79.95;0;29.94
02/25/2019;1789.43;0;195.57
02/26/2019;4046;0;372.8
02/27/2019;3111.35;0;418.16
02/28/2019;5997.44;0;154.9
03/01/2019;2274;0;223.86
03/02/2019;610.37;0;49.97
03/03/2019;214.85;0;59.92
03/04/2019;1503.74;0;215.56
03/05/2019;3580.5;0;264.71
03/06/2019;1224.62;0;192.34
03/07/2019;4953.76;0;299.76
03/08/2019;3305.01;0;224.81
03/09/2019;424.95;0;74.95
03/11/2019;804.99;0;115.62
03/12/2019;1787.64;0;254.76
03/13/2019;2070.79;0;247.35
03/14/2019;1020.92;0;78.97
03/15/2019;1896.87;0;187.88
03/16/2019;834.45;0;59.92
03/18/2019;1274.8;0;200.53
03/19/2019;1962.95;0;174.89
03/20/2019;1564.54;0;202.34
03/21/2019;1675.69;0;212.78
03/22/2019;1817.04;0;164.9
03/23/2019;753.9;0;49.97
03/24/2019;55;0;14.99
03/25/2019;1607.9;0;220.51
03/26/2019;1312.89;0;184.88
03/27/2019;1520.76;0;214.39
03/28/2019;2447.59;0;250.75
03/29/2019;2746.69;0;249.77
03/30/2019;275;0;29.98
03/31/2019;99.95;0;14.99
04/01/2019;2525.61;0;272.55
04/02/2019;1253.79;0;119.92
04/03/2019;2202.82;0;222.36
04/04/2019;1224.95;0;134.91
04/05/2019;2475.8;0;280.78
04/06/2019;340;0;44.97
04/07/2019;354.9;0;44.93
04/08/2019;2082.37;0;240.54
04/09/2019;2199.95;0;234.87
04/10/2019;2169.76;0;237.35
04/11/2019;1612.95;0;159.9
04/12/2019;2246.9;0;254.84
04/13/2019;314.95;0;14.99
04/15/2019;3563.85;0;270.52
04/16/2019;16925.98;0;459.87
04/17/2019;1875.86;0;207.37
04/18/2019;4304.48;0;284.81
04/19/2019;3549.52;0;299.82
04/20/2019;1674.65;0;134.93
04/22/2019;2596.06;0;250.53
04/23/2019;3747.18;0;214.87
04/24/2019;2246.42;0;262.35
04/25/2019;2505.6;0;264.87
04/26/2019;1634.08;0;179.9
04/27/2019;805.95;0;74.97
04/28/2019;141.93;0;29.98
04/29/2019;2851.37;0;342.88
04/30/2019;2533.9;0;259.84
05/01/2019;3185.52;0;387.25
05/02/2019;2504.57;0;271.82
05/03/2019;1454.37;0;174.89
05/04/2019;2239.59;0;188.89
05/05/2019;311.78;0;59.96
05/06/2019;6826.61;0;754.26
05/07/2019;4931.5;0;566.64
05/08/2019;9405.96;0;928.93
05/09/2019;7754.85;0;909.44
05/10/2019;12795.14;0;1410.12
05/11/2019;10481.77;0;1004.33
05/12/2019;5195.87;0;314.79
05/13/2019;1692.91;0;190.62
05/14/2019;1744.89;0;164.89
05/15/2019;1352.91;0;102.44
05/16/2019;1980.74;0;165.9
05/17/2019;2535.65;0;253.84
05/18/2019;634.94;0;44.97
05/19/2019;429.95;0;14.99
05/20/2019;1834.81;0;160.59
05/21/2019;2451.65;0;208.87
05/22/2019;2122.72;0;215.37
05/23/2019;1420.74;0;89.94
05/24/2019;1954.94;0;119.92
05/25/2019;1242.95;0;29.98
05/26/2019;75;0;14.99
05/27/2019;90.97;0;25.68
05/28/2019;1180.88;0;179.88
05/29/2019;1640.76;0;177.39
05/30/2019;1049.3;0;73.96
05/31/2019;2252.68;0;224.85
06/01/2019;55.94;0;14.99
06/02/2019;55.94;0;14.99
06/03/2019;1559.15;0;180.58
06/04/2019;1321.93;0;154.9
06/05/2019;2402.46;0;224.37
06/06/2019;2557.76;0;249.84
06/07/2019;1789.8;0;159.9
06/08/2019;934.95;0;59.96
06/10/2019;935.94;0;100.63
06/11/2019;1210.81;0;134.91
06/12/2019;1489.82;0;162.4
06/13/2019;619.93;0;71.96
06/14/2019;1809.38;0;269.84
06/15/2019;481.89;0;74.95
06/17/2019;1439.84;0;180.58
06/18/2019;1035.94;0;134.91
06/19/2019;1424.86;0;97.45
06/20/2019;1497.71;0;159.9
06/21/2019;1527.85;0;169.9
06/22/2019;755;0;29.98
06/23/2019;249.9;0;44.97
06/24/2019;1368.37;0;195.59
06/25/2019;1107.66;0;119.92
