date_revenue;merchandise;wire;delivery
11/01/2019;1378.54;0;189.88
11/02/2019;545;0;47.97
11/03/2019;299.95;0;15.99
11/04/2019;1707.17;0;186.58
11/05/2019;1727.74;0;125.93
11/06/2019;1323.67;0;216.38
11/07/2019;1707.83;0;203.9
11/08/2019;3416.63;0;267.85
11/09/2019;1699.95;0;63.96
11/10/2019;210.89;0;15.99
11/11/2019;2334.84;0;202.57
11/12/2019;3651.05;0;189.89
11/13/2019;1930.82;0;174.42
11/14/2019;1716.73;0;222.86
11/15/2019;1487.61;0;127.92
11/16/2019;284.95;0;0
11/18/2019;8078.67;0;1142.29
11/19/2019;2272.57;0;260.86
11/20/2019;2199.77;0;257.35
11/21/2019;2160.35;0;299.82
11/22/2019;2189.85;0;214.86
11/23/2019;525.93;0;105.94
11/24/2019;75;0;14.99
11/25/2019;2457.07;0;246.56
11/26/2019;2149.7;0;159.9
11/27/2019;2636.64;0;219.39
11/29/2019;1291.87;0;79.95
11/30/2019;421.88;0;67.96
12/01/2019;134.95;0;24.99
12/02/2019;2650.77;0;267.54
12/03/2019;3915.71;0;439.73
12/04/2019;4924.8;0;238.36
12/05/2019;1565.2;0;177.9
12/06/2019;6579.69;0;328.85
12/07/2019;234.95;0;31.98
12/08/2019;49.95;0;15.99
12/09/2019;2794.85;0;210.59
12/10/2019;2097.83;0;194.92
12/11/2019;2936.87;0;216.37
12/12/2019;1984.9;0;344.79
12/13/2019;2906.9;0;237.85
12/14/2019;734.9;0;94.94
12/15/2019;401.66;0;79.95
12/16/2019;2924.94;0;274.53
12/17/2019;1676.76;0;176.88
12/18/2019;2975.43;0;398.27
12/19/2019;2338.3;0;273.58
12/20/2019;2112.41;0;267.84
12/21/2019;2027.58;0;263.84
12/22/2019;134.94;0;15.99
12/23/2019;3847.29;0;438.47
12/24/2019;1340.03;0;158.9
12/25/2019;184.97;0;27.49
12/26/2019;1228.8;0;134.93
12/27/2019;1769.85;0;192.88
12/28/2019;883.94;0;93.95
12/30/2019;1464.8;0;148.61
12/31/2019;1329.02;0;95.93
